CellType	DiseaseTissue	Ident1	Ident2	Gene	Log2FC	pval	padj	stat
CD4_T_cell	UC_R	I	NI	LINC01409	0.6411	0.16	0.758	1.405
CD4_T_cell	UC_R	I	NI	TNFRSF18	1.292	0.1317	1	1.507
CD4_T_cell	UC_R	I	NI	TNFRSF4	0.6228	0.3568	1	0.9214
CD4_T_cell	UC_R	I	NI	SDF4	-0.3447	0.5611	1	-0.5812
CD4_T_cell	UC_R	I	NI	UBE2J2	0.1311	0.7775	1	0.2826
CD4_T_cell	UC_R	I	NI	CCNL2	0.2366	0.462	0.9618	0.7355
CD4_T_cell	UC_R	I	NI	MRPL20	-0.4894	0.3021	0.8679	-1.032
CD4_T_cell	UC_R	I	NI	SSU72	-0.07851	0.8543	1	-0.1836
CD4_T_cell	UC_R	I	NI	CDK11B	-0.1783	0.7241	1	-0.3529
CD4_T_cell	UC_R	I	NI	SLC35E2B	0.07839	0.8519	1	0.1867
CD4_T_cell	UC_R	I	NI	SLC35E2A	0.03239	0.942	1	0.07272
CD4_T_cell	UC_R	I	NI	GNB1	0.2877	0.1857	0.6214	1.323
CD4_T_cell	UC_R	I	NI	PRKCZ	0.2305	0.5659	1	0.5742
CD4_T_cell	UC_R	I	NI	SKI	0.09907	0.7512	1	0.317
CD4_T_cell	UC_R	I	NI	RER1	-0.6014	0.1863	1	-1.322
CD4_T_cell	UC_R	I	NI	TNFRSF14	-0.6518	0.1507	1	-1.437
CD4_T_cell	UC_R	I	NI	CEP104	0.1173	0.7471	1	0.3225
CD4_T_cell	UC_R	I	NI	KCNAB2	-0.0389	0.8953	1	-0.1317
CD4_T_cell	UC_R	I	NI	RPL22	-1.576	0.005727	0.2245	-2.763
CD4_T_cell	UC_R	I	NI	TNFRSF25	0.5554	0.1874	0.8234	1.318
CD4_T_cell	UC_R	I	NI	NOL9	0.1476	0.7344	1	0.3392
CD4_T_cell	UC_R	I	NI	DNAJC11	0.124	0.7439	1	0.3267
CD4_T_cell	UC_R	I	NI	CAMTA1	0.2582	0.3248	0.9059	0.9846
CD4_T_cell	UC_R	I	NI	PARK7	-0.3149	0.445	1	-0.7637
CD4_T_cell	UC_R	I	NI	RERE	-0.09392	0.5814	0.8565	-0.5514
CD4_T_cell	UC_R	I	NI	ENO1	-0.4931	0.2245	0.8524	-1.215
CD4_T_cell	UC_R	I	NI	H6PD	-0.4441	0.348	0.9286	-0.9384
CD4_T_cell	UC_R	I	NI	SPSB1	1.549	0.02325	0.65	2.269
CD4_T_cell	UC_R	I	NI	PIK3CD	0.2001	0.5637	0.8234	0.5774
CD4_T_cell	UC_R	I	NI	CLSTN1	0.2463	0.4651	0.8591	0.7305
CD4_T_cell	UC_R	I	NI	LZIC	-0.03869	0.936	1	-0.08028
CD4_T_cell	UC_R	I	NI	UBE4B	-0.1331	0.5663	0.824	-0.5735
CD4_T_cell	UC_R	I	NI	KIF1B	-0.02339	0.9641	1	-0.04502
CD4_T_cell	UC_R	I	NI	PEX14	0.41	0.1099	0.6009	1.598
CD4_T_cell	UC_R	I	NI	TARDBP	-0.1926	0.5439	1	-0.6069
CD4_T_cell	UC_R	I	NI	EXOSC10	0.04166	0.9139	1	0.1082
CD4_T_cell	UC_R	I	NI	MTOR	0.3342	0.2507	0.8235	1.149
CD4_T_cell	UC_R	I	NI	TNFRSF1B	0.4142	0.3292	0.8673	0.9757
CD4_T_cell	UC_R	I	NI	VPS13D	-0.1561	0.4608	0.7887	-0.7375
CD4_T_cell	UC_R	I	NI	DHRS3	-0.5499	0.3501	1	-0.9344
CD4_T_cell	UC_R	I	NI	PRDM2	-0.004098	0.9816	0.9341	-0.02307
CD4_T_cell	UC_R	I	NI	DNAJC16	0.3097	0.2976	1	1.042
CD4_T_cell	UC_R	I	NI	DDI2	-0.03243	0.921	1	-0.09912
CD4_T_cell	UC_R	I	NI	PLEKHM2	-0.5726	0.2101	0.8623	-1.253
CD4_T_cell	UC_R	I	NI	SPEN	-0.1642	0.4994	1	-0.6755
CD4_T_cell	UC_R	I	NI	FBXO42	-0.1971	0.4402	1	-0.7718
CD4_T_cell	UC_R	I	NI	SZRD1	0.1733	0.631	1	0.4804
CD4_T_cell	UC_R	I	NI	NECAP2	-0.3248	0.4296	1	-0.7899
CD4_T_cell	UC_R	I	NI	CROCC	-0.4541	0.4069	1	-0.8294
CD4_T_cell	UC_R	I	NI	SDHB	0.1909	0.6051	1	0.5171
CD4_T_cell	UC_R	I	NI	RCC2	0.5157	0.2033	1	1.272
CD4_T_cell	UC_R	I	NI	UBR4	0.3153	0.2679	0.8658	1.108
CD4_T_cell	UC_R	I	NI	EMC1-AS1	0.203	0.6262	1	0.4871
CD4_T_cell	UC_R	I	NI	CAPZB	-0.1928	0.2703	0.7193	-1.102
CD4_T_cell	UC_R	I	NI	MICOS10	-0.7467	0.1547	0.823	-1.423
CD4_T_cell	UC_R	I	NI	TMCO4	0.0683	0.8353	1	0.2079
CD4_T_cell	UC_R	I	NI	OTUD3	-0.5977	0.2434	0.8521	-1.166
CD4_T_cell	UC_R	I	NI	HP1BP3	0.0312	0.8706	0.8391	0.1629
CD4_T_cell	UC_R	I	NI	EIF4G3	0.5054	0.006771	0.1573	2.708
CD4_T_cell	UC_R	I	NI	ECE1	0.07331	0.8156	1	0.2332
CD4_T_cell	UC_R	I	NI	USP48	0.2317	0.2702	0.6755	1.103
CD4_T_cell	UC_R	I	NI	CDC42	-0.2803	0.23	0.8098	-1.2
CD4_T_cell	UC_R	I	NI	ZBTB40	-0.3911	0.1936	0.7768	-1.3
CD4_T_cell	UC_R	I	NI	KDM1A	-0.2771	0.4317	1	-0.7863
CD4_T_cell	UC_R	I	NI	AL031428.1	0.02584	0.9602	1	0.04993
CD4_T_cell	UC_R	I	NI	LUZP1	0.3494	0.3231	0.9033	0.9881
CD4_T_cell	UC_R	I	NI	LINC01355	0.6625	0.1813	1	1.337
CD4_T_cell	UC_R	I	NI	HNRNPR	0.04994	0.8088	0.8694	0.242
CD4_T_cell	UC_R	I	NI	RPL11	-2.008	0.008577	0.1659	-2.628
CD4_T_cell	UC_R	I	NI	ELOA-AS1	0.2192	0.6193	1	0.4968
CD4_T_cell	UC_R	I	NI	PNRC2	-0.4831	0.2515	0.87	-1.147
CD4_T_cell	UC_R	I	NI	SRSF10	-0.09082	0.6695	0.7997	-0.4268
CD4_T_cell	UC_R	I	NI	NIPAL3	-0.149	0.6027	0.9101	-0.5206
CD4_T_cell	UC_R	I	NI	RCAN3AS	-1.149	0.05629	0.6372	-1.909
CD4_T_cell	UC_R	I	NI	RCAN3	-0.4303	0.1183	0.4731	-1.562
CD4_T_cell	UC_R	I	NI	SRRM1	-0.2677	0.256	0.7569	-1.136
CD4_T_cell	UC_R	I	NI	RUNX3	-0.01744	0.9699	1	-0.03771
CD4_T_cell	UC_R	I	NI	SYF2	-0.4425	0.3344	0.8924	-0.9652
CD4_T_cell	UC_R	I	NI	RSRP1	0.4059	0.07182	0.4354	1.8
CD4_T_cell	UC_R	I	NI	TMEM50A	0.563	0.1277	1	1.523
CD4_T_cell	UC_R	I	NI	MACO1	-0.3321	0.3214	0.9286	-0.9916
CD4_T_cell	UC_R	I	NI	LDLRAP1	-0.8526	0.05188	0.5801	-1.944
CD4_T_cell	UC_R	I	NI	MAN1C1	-0.4401	0.2652	0.7151	-1.114
CD4_T_cell	UC_R	I	NI	SH3BGRL3	-2.918	0.0007906	0.1224	-3.356
CD4_T_cell	UC_R	I	NI	CD52	-1.307	0.00839	0.2702	-2.636
CD4_T_cell	UC_R	I	NI	DHDDS	0.8086	0.08488	0.7093	1.723
CD4_T_cell	UC_R	I	NI	HMGN2	-0.7633	0.02666	0.6026	-2.216
CD4_T_cell	UC_R	I	NI	ARID1A	0.2779	0.2373	0.6883	1.182
CD4_T_cell	UC_R	I	NI	ZDHHC18	-0.07601	0.8859	1	-0.1435
CD4_T_cell	UC_R	I	NI	NUDC	0.7314	0.1356	1	1.492
CD4_T_cell	UC_R	I	NI	SLC9A1	0.01736	0.9699	1	0.03767
CD4_T_cell	UC_R	I	NI	WDTC1	0.2732	0.3697	1	0.8971
CD4_T_cell	UC_R	I	NI	SYTL1	-0.1125	0.8368	1	-0.2059
CD4_T_cell	UC_R	I	NI	WASF2	-0.1329	0.5857	0.8258	-0.5451
CD4_T_cell	UC_R	I	NI	STX12	0.1858	0.5524	0.8938	0.5941
CD4_T_cell	UC_R	I	NI	PPP1R8	0.5882	0.1986	0.8213	1.286
CD4_T_cell	UC_R	I	NI	RPA2	-0.2418	0.6323	1	-0.4785
CD4_T_cell	UC_R	I	NI	EYA3	0.5021	0.01484	0.2223	2.436
CD4_T_cell	UC_R	I	NI	DNAJC8	-0.8044	0.08852	0.6749	-1.703
CD4_T_cell	UC_R	I	NI	ATP5IF1	-1.335	0.005453	0.2233	-2.779
CD4_T_cell	UC_R	I	NI	PHACTR4	0.03529	0.8692	0.8384	0.1647
CD4_T_cell	UC_R	I	NI	SNHG3	-0.1246	0.7729	1	-0.2886
CD4_T_cell	UC_R	I	NI	TRNAU1AP	-0.4017	0.3867	1	-0.8656
CD4_T_cell	UC_R	I	NI	TAF12	0.6023	0.2178	1	1.232
CD4_T_cell	UC_R	I	NI	GMEB1	0.5193	0.1892	0.8144	1.313
CD4_T_cell	UC_R	I	NI	YTHDF2	0.6347	0.04254	0.6865	2.028
CD4_T_cell	UC_R	I	NI	EPB41	-0.1566	0.3434	0.7609	-0.9474
CD4_T_cell	UC_R	I	NI	SRSF4	0.01341	0.9453	0.9029	0.06865
CD4_T_cell	UC_R	I	NI	LAPTM5	-0.7192	0.0535	0.4583	-1.931
CD4_T_cell	UC_R	I	NI	PUM1	-0.05041	0.7553	0.87	-0.3117
CD4_T_cell	UC_R	I	NI	SNRNP40	0.2789	0.4497	1	0.7559
CD4_T_cell	UC_R	I	NI	ZCCHC17	0.874	0.03653	0.6662	2.091
CD4_T_cell	UC_R	I	NI	PTP4A2	-0.1432	0.4898	0.8006	-0.6906
CD4_T_cell	UC_R	I	NI	KHDRBS1	-0.2583	0.3219	0.8637	-0.9905
CD4_T_cell	UC_R	I	NI	KPNA6	-0.339	0.2621	0.8637	-1.121
CD4_T_cell	UC_R	I	NI	LCK	0.2973	0.1965	0.6194	1.292
CD4_T_cell	UC_R	I	NI	HDAC1	0.5106	0.1512	1	1.435
CD4_T_cell	UC_R	I	NI	BSDC1	-0.1334	0.7523	1	-0.3156
CD4_T_cell	UC_R	I	NI	ZBTB8OS	0.3355	0.3063	0.8938	1.023
CD4_T_cell	UC_R	I	NI	RBBP4	0.1187	0.6918	1	0.3964
CD4_T_cell	UC_R	I	NI	YARS	0.3452	0.355	1	0.9249
CD4_T_cell	UC_R	I	NI	S100PBP	0.2246	0.4402	1	0.7718
CD4_T_cell	UC_R	I	NI	AK2	-0.07577	0.8693	1	-0.1645
CD4_T_cell	UC_R	I	NI	ZNF362	-0.604	0.1927	1	-1.303
CD4_T_cell	UC_R	I	NI	PHC2	-0.762	0.1112	0.7546	-1.593
CD4_T_cell	UC_R	I	NI	TMEM35B	-1.062	0.08168	0.636	-1.741
CD4_T_cell	UC_R	I	NI	ZMYM6	-0.02471	0.9334	1	-0.08355
CD4_T_cell	UC_R	I	NI	ZMYM1	0.02778	0.9438	1	0.07046
CD4_T_cell	UC_R	I	NI	SFPQ	0.05761	0.7604	0.8705	0.305
CD4_T_cell	UC_R	I	NI	ZMYM4	-0.1706	0.3384	0.7318	-0.9573
CD4_T_cell	UC_R	I	NI	KIAA0319L	0.3269	0.1808	0.6533	1.338
CD4_T_cell	UC_R	I	NI	PSMB2	-0.09045	0.8196	1	-0.2281
CD4_T_cell	UC_R	I	NI	AGO4	0.1316	0.6991	1	0.3866
CD4_T_cell	UC_R	I	NI	AGO1	0.2869	0.5205	1	0.6425
CD4_T_cell	UC_R	I	NI	AGO3	-0.1446	0.4157	0.705	-0.8139
CD4_T_cell	UC_R	I	NI	THRAP3	-0.02873	0.8973	0.8938	-0.1291
CD4_T_cell	UC_R	I	NI	STK40	0.0924	0.8527	1	0.1857
CD4_T_cell	UC_R	I	NI	MEAF6	-0.2276	0.5902	1	-0.5385
CD4_T_cell	UC_R	I	NI	INPP5B	0.9537	0.02447	0.4292	2.25
CD4_T_cell	UC_R	I	NI	SF3A3	-0.7822	0.1151	0.7573	-1.576
CD4_T_cell	UC_R	I	NI	AL139260.1	-0.2548	0.5893	1	-0.5398
CD4_T_cell	UC_R	I	NI	AKIRIN1	0.1331	0.6668	1	0.4305
CD4_T_cell	UC_R	I	NI	NDUFS5	-1.818	0.02077	0.3781	-2.312
CD4_T_cell	UC_R	I	NI	MACF1	-0.1104	0.5637	0.8234	-0.5774
CD4_T_cell	UC_R	I	NI	PABPC4	-0.3496	0.4336	1	-0.783
CD4_T_cell	UC_R	I	NI	PPIE	0.1031	0.8607	1	0.1755
CD4_T_cell	UC_R	I	NI	TRIT1	0.015	0.9725	1	0.03448
CD4_T_cell	UC_R	I	NI	CAP1	-0.5073	0.0898	0.7253	-1.696
CD4_T_cell	UC_R	I	NI	RLF	0.3511	0.133	0.5533	1.503
CD4_T_cell	UC_R	I	NI	ZMPSTE24	0.2021	0.6246	1	0.4893
CD4_T_cell	UC_R	I	NI	SMAP2	-0.44	0.3368	0.7589	-0.9605
CD4_T_cell	UC_R	I	NI	NFYC	0.1356	0.555	1	0.5903
CD4_T_cell	UC_R	I	NI	SCMH1	0.08076	0.7471	0.9033	0.3225
CD4_T_cell	UC_R	I	NI	HIVEP3	0.4765	0.1638	0.5987	1.392
CD4_T_cell	UC_R	I	NI	FOXJ3	-0.01834	0.9117	0.8461	-0.1109
CD4_T_cell	UC_R	I	NI	PPCS	-0.8299	0.07598	0.6791	-1.775
CD4_T_cell	UC_R	I	NI	CCDC30	-0.05252	0.9027	1	-0.1223
CD4_T_cell	UC_R	I	NI	PPIH	0.3703	0.4382	1	0.7753
CD4_T_cell	UC_R	I	NI	YBX1	-0.389	0.2918	0.8883	-1.054
CD4_T_cell	UC_R	I	NI	SZT2	0.341	0.3111	0.9003	1.013
CD4_T_cell	UC_R	I	NI	KDM4A	0.3408	0.356	0.9797	0.923
CD4_T_cell	UC_R	I	NI	ST3GAL3	0.04848	0.8443	1	0.1964
CD4_T_cell	UC_R	I	NI	ERI3	-0.64	0.0361	0.5009	-2.096
CD4_T_cell	UC_R	I	NI	ARMH1	-0.6158	0.2701	1	-1.103
CD4_T_cell	UC_R	I	NI	RPS8	-1.978	0.003559	0.125	-2.915
CD4_T_cell	UC_R	I	NI	EIF2B3	0.4579	0.1494	0.6598	1.442
CD4_T_cell	UC_R	I	NI	ZSWIM5	0.4358	0.3022	0.7874	1.032
CD4_T_cell	UC_R	I	NI	TESK2	1.105	0.004385	0.1996	2.849
CD4_T_cell	UC_R	I	NI	NASP	-0.4272	0.2292	0.8414	-1.202
CD4_T_cell	UC_R	I	NI	GPBP1L1	0.4918	0.02316	0.2702	2.271
CD4_T_cell	UC_R	I	NI	IPP	-0.5146	0.2311	1	-1.198
CD4_T_cell	UC_R	I	NI	MAST2	0.831	0.0101	0.3024	2.572
CD4_T_cell	UC_R	I	NI	UQCRH	-1.08	0.02282	0.4605	-2.276
CD4_T_cell	UC_R	I	NI	MKNK1	0.5938	0.2037	1	1.271
CD4_T_cell	UC_R	I	NI	ATPAF1	0.03673	0.9281	1	0.09022
CD4_T_cell	UC_R	I	NI	EFCAB14	-0.1554	0.6242	0.9231	-0.4899
CD4_T_cell	UC_R	I	NI	CMPK1	0.04018	0.9318	1	0.08562
CD4_T_cell	UC_R	I	NI	FAF1	0.03781	0.7987	0.8258	0.2551
CD4_T_cell	UC_R	I	NI	RNF11	0.5759	0.1292	1	1.517
CD4_T_cell	UC_R	I	NI	EPS15	-0.04567	0.7924	0.8836	-0.2631
CD4_T_cell	UC_R	I	NI	OSBPL9	0.01223	0.9619	1	0.04777
CD4_T_cell	UC_R	I	NI	NRDC	0.1723	0.4078	0.6985	0.8278
CD4_T_cell	UC_R	I	NI	TXNDC12	-0.08483	0.8294	1	-0.2154
CD4_T_cell	UC_R	I	NI	BTF3L4	0.789	0.01696	0.5195	2.388
CD4_T_cell	UC_R	I	NI	ZFYVE9	-0.5791	0.1887	0.8134	-1.314
CD4_T_cell	UC_R	I	NI	CC2D1B	0.4188	0.3433	1	0.9476
CD4_T_cell	UC_R	I	NI	PRPF38A	-0.3534	0.4588	1	-0.7409
CD4_T_cell	UC_R	I	NI	TUT4	-0.1322	0.3507	0.6778	-0.9332
CD4_T_cell	UC_R	I	NI	SHISAL2A	-0.4564	0.1671	0.6771	-1.382
CD4_T_cell	UC_R	I	NI	ZYG11B	-0.0346	0.9208	1	-0.09942
CD4_T_cell	UC_R	I	NI	ECHDC2	-0.0449	0.8865	1	-0.1428
CD4_T_cell	UC_R	I	NI	SCP2	-1.033	0.002797	0.1706	-2.989
CD4_T_cell	UC_R	I	NI	LRP8	0.3215	0.4591	1	0.7404
CD4_T_cell	UC_R	I	NI	NDC1	-0.4922	0.2173	0.8307	-1.234
CD4_T_cell	UC_R	I	NI	HSPB11	0.3098	0.4594	1	0.7398
CD4_T_cell	UC_R	I	NI	TMEM59	-0.1881	0.4704	1	-0.7218
CD4_T_cell	UC_R	I	NI	TCEANC2	0.666	0.09246	0.6613	1.683
CD4_T_cell	UC_R	I	NI	SSBP3	0.3416	0.3622	1	0.9112
CD4_T_cell	UC_R	I	NI	USP24	-0.3386	0.08119	0.459	-1.744
CD4_T_cell	UC_R	I	NI	DAB1	-0.09576	0.8694	1	-0.1644
CD4_T_cell	UC_R	I	NI	OMA1	0.1519	0.7609	1	0.3043
CD4_T_cell	UC_R	I	NI	MYSM1	-0.09724	0.6988	1	-0.387
CD4_T_cell	UC_R	I	NI	JUN	-3.217	0.01207	0.3152	-2.51
CD4_T_cell	UC_R	I	NI	LINC01135	-0.7862	0.06821	0.6237	-1.824
CD4_T_cell	UC_R	I	NI	FGGY	0.1108	0.7774	1	0.2827
CD4_T_cell	UC_R	I	NI	NFIA	-0.266	0.7042	0.8594	-0.3796
CD4_T_cell	UC_R	I	NI	TM2D1	0.4042	0.07132	0.63	1.803
CD4_T_cell	UC_R	I	NI	PATJ	-0.2238	0.4029	0.7589	-0.8365
CD4_T_cell	UC_R	I	NI	USP1	-0.02668	0.9486	1	-0.06445
CD4_T_cell	UC_R	I	NI	DOCK7	-0.336	0.5276	1	-0.6316
CD4_T_cell	UC_R	I	NI	ATG4C	-0.2766	0.4813	1	-0.7043
CD4_T_cell	UC_R	I	NI	ALG6	0.0168	0.9581	1	0.05259
CD4_T_cell	UC_R	I	NI	ITGB3BP	0.09769	0.7894	1	0.267
CD4_T_cell	UC_R	I	NI	EFCAB7	0.06995	0.8833	1	0.1467
CD4_T_cell	UC_R	I	NI	PGM1	0.1834	0.7147	1	0.3656
CD4_T_cell	UC_R	I	NI	JAK1	0.002285	0.988	1	0.01506
CD4_T_cell	UC_R	I	NI	LEPR	1.082	0.04643	0.7997	1.991
CD4_T_cell	UC_R	I	NI	PDE4B	0.4693	0.537	0.8414	0.6174
CD4_T_cell	UC_R	I	NI	MIER1	0.09787	0.5631	0.8234	0.5783
CD4_T_cell	UC_R	I	NI	SLC35D1	-0.3038	0.3563	1	-0.9224
CD4_T_cell	UC_R	I	NI	IL12RB2	1.637	0.0604	0.4009	1.878
CD4_T_cell	UC_R	I	NI	SERBP1	-0.446	0.1064	1	-1.615
CD4_T_cell	UC_R	I	NI	LRRC40	0.3271	0.3602	0.9846	0.915
CD4_T_cell	UC_R	I	NI	SRSF11	-0.29	0.07924	0.4407	-1.755
CD4_T_cell	UC_R	I	NI	ANKRD13C	0.07704	0.6989	0.8052	0.3868
CD4_T_cell	UC_R	I	NI	ZRANB2	0.231	0.3486	0.7667	0.9373
CD4_T_cell	UC_R	I	NI	FPGT	-0.417	0.4032	1	-0.8359
CD4_T_cell	UC_R	I	NI	TYW3	0.2218	0.6162	1	0.5013
CD4_T_cell	UC_R	I	NI	SLC44A5	1.617	0.1732	1	1.362
CD4_T_cell	UC_R	I	NI	ACADM	0.4309	0.223	0.8507	1.219
CD4_T_cell	UC_R	I	NI	RABGGTB	-0.06781	0.8633	1	-0.1722
CD4_T_cell	UC_R	I	NI	ST6GALNAC3	0.0898	0.8675	0.9009	0.1668
CD4_T_cell	UC_R	I	NI	PIGK	-0.1181	0.7404	1	-0.3313
CD4_T_cell	UC_R	I	NI	AK5	-1.958	0.01525	0.3525	-2.426
CD4_T_cell	UC_R	I	NI	AC118549.1	-0.127	0.5026	0.8052	-0.6705
CD4_T_cell	UC_R	I	NI	USP33	0.1661	0.388	0.7569	0.8633
CD4_T_cell	UC_R	I	NI	MIGA1	0.05066	0.8176	1	0.2306
CD4_T_cell	UC_R	I	NI	FUBP1	0.01962	0.922	0.9141	0.09788
CD4_T_cell	UC_R	I	NI	IFI44L	1.635	0.1948	1	1.297
CD4_T_cell	UC_R	I	NI	IFI44	0.01783	0.9726	1	0.0344
CD4_T_cell	UC_R	I	NI	PRKACB	-0.3255	0.1886	0.6237	-1.315
CD4_T_cell	UC_R	I	NI	RPF1	-0.1302	0.7609	1	-0.3043
CD4_T_cell	UC_R	I	NI	GNG5	-1.499	0.01226	0.3525	-2.504
CD4_T_cell	UC_R	I	NI	CTBS	-0.01578	0.9572	1	-0.05365
CD4_T_cell	UC_R	I	NI	SSX2IP	0.9035	0.1416	0.7573	1.47
CD4_T_cell	UC_R	I	NI	MCOLN2	0.6656	0.2495	1	1.152
CD4_T_cell	UC_R	I	NI	C1orf52	0.2785	0.444	1	0.7654
CD4_T_cell	UC_R	I	NI	BCL10	-1.355	0.05735	0.5912	-1.901
CD4_T_cell	UC_R	I	NI	ZNHIT6	0.07937	0.7375	1	0.3351
CD4_T_cell	UC_R	I	NI	ODF2L	0.2196	0.4218	0.7714	0.8034
CD4_T_cell	UC_R	I	NI	SH3GLB1	0.04892	0.8585	1	0.1783
CD4_T_cell	UC_R	I	NI	SELENOF	-0.008723	0.9685	1	-0.03953
CD4_T_cell	UC_R	I	NI	HS2ST1	-0.2861	0.2885	0.7335	-1.061
CD4_T_cell	UC_R	I	NI	LMO4	1.234	0.05693	0.629	1.904
CD4_T_cell	UC_R	I	NI	PKN2	-0.2172	0.2286	0.662	-1.204
CD4_T_cell	UC_R	I	NI	GTF2B	0.3436	0.1931	0.8173	1.301
CD4_T_cell	UC_R	I	NI	KYAT3	-0.1008	0.7471	1	-0.3225
CD4_T_cell	UC_R	I	NI	RBMXL1	-1.322	0.01423	0.3663	-2.451
CD4_T_cell	UC_R	I	NI	GBP3	0.4891	0.2202	0.8213	1.226
CD4_T_cell	UC_R	I	NI	GBP1	0.619	0.2916	0.9669	1.055
CD4_T_cell	UC_R	I	NI	GBP2	0.406	0.1434	0.5801	1.463
CD4_T_cell	UC_R	I	NI	GBP4	-0.2832	0.5961	1	-0.53
CD4_T_cell	UC_R	I	NI	GBP5	0.5872	0.2526	0.8574	1.144
CD4_T_cell	UC_R	I	NI	LRRC8B	-0.1401	0.6539	0.8444	-0.4484
CD4_T_cell	UC_R	I	NI	LRRC8C-DT	-0.2085	0.5854	1	-0.5455
CD4_T_cell	UC_R	I	NI	LRRC8C	-0.3853	0.1253	0.5533	-1.533
CD4_T_cell	UC_R	I	NI	LRRC8D	-0.3971	0.1715	0.5533	-1.367
CD4_T_cell	UC_R	I	NI	ZNF326	0.1037	0.7426	1	0.3284
CD4_T_cell	UC_R	I	NI	ZNF644	-0.06646	0.7276	0.8641	-0.3483
CD4_T_cell	UC_R	I	NI	TGFBR3	-0.3237	0.4806	1	-0.7053
CD4_T_cell	UC_R	I	NI	BTBD8	-0.2255	0.6062	1	-0.5156
CD4_T_cell	UC_R	I	NI	GLMN	0.3523	0.2163	1	1.237
CD4_T_cell	UC_R	I	NI	RPAP2	0.1121	0.486	0.8254	0.6967
CD4_T_cell	UC_R	I	NI	GFI1	0.5031	0.2474	0.8558	1.157
CD4_T_cell	UC_R	I	NI	EVI5	0.2291	0.5805	1	0.5526
CD4_T_cell	UC_R	I	NI	RPL5	-1.767	0.001506	0.09582	-3.174
CD4_T_cell	UC_R	I	NI	DIPK1A	-0.01314	0.9616	0.9063	-0.04818
CD4_T_cell	UC_R	I	NI	MTF2	-0.1821	0.3856	0.7437	-0.8676
CD4_T_cell	UC_R	I	NI	TMED5	-0.006422	0.9859	1	-0.01768
CD4_T_cell	UC_R	I	NI	CCDC18	-0.3159	0.304	0.8938	-1.028
CD4_T_cell	UC_R	I	NI	CCDC18-AS1	-0.1555	0.4373	0.8098	-0.7768
CD4_T_cell	UC_R	I	NI	DR1	0.3579	0.2672	1	1.109
CD4_T_cell	UC_R	I	NI	DNTTIP2	-0.8352	0.08743	0.8835	-1.709
CD4_T_cell	UC_R	I	NI	GCLM	-0.8509	0.0556	0.5912	-1.914
CD4_T_cell	UC_R	I	NI	ABCD3	0.1575	0.6504	1	0.4532
CD4_T_cell	UC_R	I	NI	RWDD3	-0.2277	0.5814	1	-0.5514
CD4_T_cell	UC_R	I	NI	PTBP2	-0.08058	0.6706	0.7997	-0.4253
CD4_T_cell	UC_R	I	NI	DPYD	-0.1091	0.5557	0.7589	-0.5892
CD4_T_cell	UC_R	I	NI	DPYD-AS1	-0.9012	0.09914	0.6865	-1.649
CD4_T_cell	UC_R	I	NI	AGL	0.2106	0.5348	1	0.6207
CD4_T_cell	UC_R	I	NI	SLC35A3	-0.1055	0.6742	1	-0.4205
CD4_T_cell	UC_R	I	NI	MFSD14A	-0.5225	0.1405	0.8069	-1.474
CD4_T_cell	UC_R	I	NI	SASS6	-0.2685	0.5821	1	-0.5503
CD4_T_cell	UC_R	I	NI	TRMT13	-0.1396	0.6097	0.914	-0.5105
CD4_T_cell	UC_R	I	NI	DBT	0.4028	0.2172	1	1.234
CD4_T_cell	UC_R	I	NI	RTCA	0.03639	0.933	1	0.08413
CD4_T_cell	UC_R	I	NI	CDC14A	-0.4494	0.1036	0.5533	-1.628
CD4_T_cell	UC_R	I	NI	SLC30A7	-0.1117	0.6367	0.8266	-0.4723
CD4_T_cell	UC_R	I	NI	DPH5	-0.7224	0.06849	0.8331	-1.822
CD4_T_cell	UC_R	I	NI	AC093157.1	-0.3404	0.3902	0.9031	-0.8593
CD4_T_cell	UC_R	I	NI	S1PR1	-1.191	0.07889	0.6883	-1.757
CD4_T_cell	UC_R	I	NI	RNPC3	-0.01331	0.9546	1	-0.05693
CD4_T_cell	UC_R	I	NI	AMY2B	0.3491	0.3305	1	0.9731
CD4_T_cell	UC_R	I	NI	VAV3	0.1133	0.8098	0.8888	0.2406
CD4_T_cell	UC_R	I	NI	SLC25A24	0.07301	0.8788	1	0.1525
CD4_T_cell	UC_R	I	NI	FAM102B	-0.2047	0.4923	0.8679	-0.6866
CD4_T_cell	UC_R	I	NI	PRPF38B	-0.2233	0.2679	0.6754	-1.108
CD4_T_cell	UC_R	I	NI	STXBP3	0.4747	0.1155	0.68	1.574
CD4_T_cell	UC_R	I	NI	AKNAD1	-0.3269	0.5361	1	-0.6187
CD4_T_cell	UC_R	I	NI	KIAA1324	0.6865	0.2565	0.8764	1.135
CD4_T_cell	UC_R	I	NI	SARS	-0.4407	0.2785	1	-1.084
CD4_T_cell	UC_R	I	NI	PSMA5	0.2181	0.4321	1	0.7856
CD4_T_cell	UC_R	I	NI	CYB561D1	-0.4456	0.3879	1	-0.8635
CD4_T_cell	UC_R	I	NI	GNAI3	0.1427	0.6354	1	0.4742
CD4_T_cell	UC_R	I	NI	AHCYL1	0.2458	0.526	1	0.6341
CD4_T_cell	UC_R	I	NI	RBM15	0.09145	0.8185	1	0.2294
CD4_T_cell	UC_R	I	NI	LAMTOR5-AS1	0.2637	0.3404	0.8753	0.9533
