CellType	DiseaseTissue	Ident1	Ident2	Gene	Log2FC	pval	padj	stat
Cycling_TA	UC_R	I	NI	YY1	-0.05438	0.7775	1	-0.2826
Cycling_TA	UC_R	I	NI	SLC25A29	-0.04011	0.9272	1	-0.09133
Cycling_TA	UC_R	I	NI	WARS	0.8539	0.1145	0.8925	1.578
Cycling_TA	UC_R	I	NI	WDR25	0.1518	0.518	1	0.6465
Cycling_TA	UC_R	I	NI	PPP2R5C	-0.03442	0.8176	0.732	-0.2307
Cycling_TA	UC_R	I	NI	DYNC1H1	0.3817	0.1254	0.5888	1.532
Cycling_TA	UC_R	I	NI	HSP90AA1	0.4447	0.1926	0.6153	1.303
Cycling_TA	UC_R	I	NI	WDR20	0.208	0.2891	0.7154	1.06
Cycling_TA	UC_R	I	NI	MOK	0.8392	0.04469	0.6277	2.008
Cycling_TA	UC_R	I	NI	ZNF839	0.1497	0.6944	1	0.3928
Cycling_TA	UC_R	I	NI	CINP	0.401	0.5043	1	0.6677
Cycling_TA	UC_R	I	NI	TECPR2	0.1157	0.6892	1	0.4
Cycling_TA	UC_R	I	NI	ANKRD9	-0.2469	0.6243	1	-0.4898
Cycling_TA	UC_R	I	NI	RCOR1	0.05124	0.7687	0.78	0.294
Cycling_TA	UC_R	I	NI	TRAF3	0.3368	0.08492	0.315	1.723
Cycling_TA	UC_R	I	NI	AMN	0.2367	0.5755	1	0.5599
Cycling_TA	UC_R	I	NI	CDC42BPB	0.3617	0.1249	0.4593	1.534
Cycling_TA	UC_R	I	NI	EXOC3L4	0.2786	0.5708	1	0.5668
Cycling_TA	UC_R	I	NI	EIF5	-0.324	0.2258	0.9371	-1.211
Cycling_TA	UC_R	I	NI	MARK3	0.08336	0.6288	0.8344	0.4834
Cycling_TA	UC_R	I	NI	CKB	-0.4309	0.4569	1	-0.744
Cycling_TA	UC_R	I	NI	BAG5	-0.209	0.6132	1	-0.5055
Cycling_TA	UC_R	I	NI	KLC1	0.1986	0.3688	0.6867	0.8988
Cycling_TA	UC_R	I	NI	COA8	-0.4984	0.384	1	-0.8706
Cycling_TA	UC_R	I	NI	XRCC3	0.03249	0.9356	1	0.0808
Cycling_TA	UC_R	I	NI	ZFYVE21	0.06494	0.9064	1	0.1176
Cycling_TA	UC_R	I	NI	PPP1R13B	0.317	0.1429	0.4012	1.465
Cycling_TA	UC_R	I	NI	ATP5MPL	0.1714	0.6293	1	0.4827
Cycling_TA	UC_R	I	NI	LINC02691	-1.417	0.1296	0.7999	-1.516
Cycling_TA	UC_R	I	NI	INF2	0.6288	0.1481	0.7849	1.446
Cycling_TA	UC_R	I	NI	SIVA1	-1.135	0.01049	0.315	-2.559
Cycling_TA	UC_R	I	NI	AKT1	0.1073	0.7856	1	0.272
Cycling_TA	UC_R	I	NI	CEP170B	0.2768	0.5408	1	0.6115
Cycling_TA	UC_R	I	NI	CDCA4	0.2692	0.4862	1	0.6964
Cycling_TA	UC_R	I	NI	BRF1	-0.1866	0.5213	1	-0.6414
Cycling_TA	UC_R	I	NI	BTBD6	0.7261	0.2575	1	1.132
Cycling_TA	UC_R	I	NI	PACS2	0.4611	0.1117	0.5693	1.591
Cycling_TA	UC_R	I	NI	TEX22	-0.1189	0.7981	1	-0.2558
Cycling_TA	UC_R	I	NI	MTA1	0.6119	0.1561	0.8693	1.418
Cycling_TA	UC_R	I	NI	TEDC1	-0.3327	0.5787	1	-0.5553
Cycling_TA	UC_R	I	NI	NIPA1	0.46	0.117	0.6636	1.568
Cycling_TA	UC_R	I	NI	NIPA2	0.5679	0.04083	0.4281	2.045
Cycling_TA	UC_R	I	NI	CYFIP1	0.2787	0.3267	0.6578	0.9807
Cycling_TA	UC_R	I	NI	TUBGCP5	0.04134	0.8825	1	0.1478
Cycling_TA	UC_R	I	NI	SNHG14	-0.3021	0.3312	0.8344	-0.9716
Cycling_TA	UC_R	I	NI	UBE3A	-0.1711	0.3204	0.5751	-0.9935
Cycling_TA	UC_R	I	NI	HERC2	0.2284	0.2488	0.5968	1.153
Cycling_TA	UC_R	I	NI	FAM189A1	-0.434	0.2885	0.6304	-1.061
Cycling_TA	UC_R	I	NI	AC107980.1	-0.9403	0.1051	0.7433	-1.621
Cycling_TA	UC_R	I	NI	TJP1	-0.186	0.4846	0.869	-0.699
Cycling_TA	UC_R	I	NI	AC127502.2	0.1441	0.8132	1	0.2363
Cycling_TA	UC_R	I	NI	AC091057.6	0.185	0.6051	1	0.517
Cycling_TA	UC_R	I	NI	ARHGAP11B	0.07246	0.7376	0.897	0.3351
Cycling_TA	UC_R	I	NI	FAN1	0.1443	0.5804	1	0.5528
Cycling_TA	UC_R	I	NI	MTMR10	-0.3333	0.2061	0.5669	-1.264
Cycling_TA	UC_R	I	NI	KLF13	-0.3876	0.4061	1	-0.8307
Cycling_TA	UC_R	I	NI	OTUD7A	-0.5146	0.1481	0.4897	-1.446
Cycling_TA	UC_R	I	NI	CHRNA7	-0.2226	0.5514	0.7964	-0.5956
Cycling_TA	UC_R	I	NI	LINC02256	-0.4324	0.4008	1	-0.8402
Cycling_TA	UC_R	I	NI	ARHGAP11A	0.3243	0.3006	0.7725	1.035
Cycling_TA	UC_R	I	NI	SCG5	-0.5206	0.3158	1	-1.003
Cycling_TA	UC_R	I	NI	FMN1	0.06099	0.7905	0.7914	0.2657
Cycling_TA	UC_R	I	NI	AC010809.1	-0.3544	0.5389	1	-0.6145
Cycling_TA	UC_R	I	NI	AVEN	0.1567	0.5483	0.9253	0.6003
Cycling_TA	UC_R	I	NI	EMC7	-0.1817	0.7036	1	-0.3804
Cycling_TA	UC_R	I	NI	KATNBL1	0.2614	0.09544	0.3275	1.667
Cycling_TA	UC_R	I	NI	SLC12A6	-0.1265	0.6848	1	-0.4059
Cycling_TA	UC_R	I	NI	LPCAT4	-0.02423	0.9533	1	-0.05862
Cycling_TA	UC_R	I	NI	GOLGA8A	-0.5371	0.2603	0.7338	-1.126
Cycling_TA	UC_R	I	NI	GOLGA8B	0.5938	0.2614	0.9511	1.123
Cycling_TA	UC_R	I	NI	AQR	0.1428	0.4291	0.7253	0.7908
Cycling_TA	UC_R	I	NI	ZNF770	0.9739	0.06349	0.6153	1.856
Cycling_TA	UC_R	I	NI	AC021231.1	-0.6417	0.09318	0.6063	-1.679
Cycling_TA	UC_R	I	NI	DPH6	0.0581	0.7895	0.9279	0.2669
Cycling_TA	UC_R	I	NI	DPH6-DT	-0.2931	0.5731	1	-0.5635
Cycling_TA	UC_R	I	NI	C15orf41	-0.4208	0.07076	0.3705	-1.807
Cycling_TA	UC_R	I	NI	MEIS2	-0.6807	0.3984	1	-0.8444
Cycling_TA	UC_R	I	NI	SPRED1	0.1995	0.5071	0.7702	0.6634
Cycling_TA	UC_R	I	NI	FAM98B	-0.4022	0.2456	1	-1.161
Cycling_TA	UC_R	I	NI	LINC02694	-1.647	0.006616	0.2593	-2.716
Cycling_TA	UC_R	I	NI	AC013652.1	-1.055	0.009085	0.213	-2.609
Cycling_TA	UC_R	I	NI	THBS1	-2.786	7.237e-07	0.002242	-4.955
Cycling_TA	UC_R	I	NI	AC037198.1	-2.105	0.01842	0.3898	-2.357
Cycling_TA	UC_R	I	NI	FSIP1	-1.33	0.03923	0.5218	-2.062
Cycling_TA	UC_R	I	NI	EIF2AK4	0.08407	0.7244	1	0.3527
Cycling_TA	UC_R	I	NI	SRP14-AS1	0.06213	0.9101	1	0.1128
Cycling_TA	UC_R	I	NI	BUB1B	0.1718	0.4201	0.721	0.8063
