Nreads	Context	Sample	CellType	Status	CellTypeDiseaseTissueStatus	DiseaseTissue
100587	TA_CD_TI_I_ADL0062_TI	ADL0062_TI	TA	I	TA_CD_TI_I	CD_TI
742171	TA_UC_R_NI_ADL0002_R	ADL0002_R	TA	NI	TA_UC_R_NI	UC_R
779073	TA_UC_R_NI_ADL0018_R	ADL0018_R	TA	NI	TA_UC_R_NI	UC_R
358907	TA_UC_R_NI_ADL0009_R	ADL0009_R	TA	NI	TA_UC_R_NI	UC_R
477385	TA_UC_R_NI_ADL0010_R	ADL0010_R	TA	NI	TA_UC_R_NI	UC_R
323544	TA_UC_R_NI_ADL0012_R	ADL0012_R	TA	NI	TA_UC_R_NI	UC_R
730100	TA_UC_R_NI_ADL0022_R	ADL0022_R	TA	NI	TA_UC_R_NI	UC_R
17496134	TA_UC_R_I_ADL0004_R	ADL0004_R	TA	I	TA_UC_R_I	UC_R
170990	TA_UC_R_I_ADL0041_R	ADL0041_R	TA	I	TA_UC_R_I	UC_R
266944	TA_UC_R_I_ADL0053_R	ADL0053_R	TA	I	TA_UC_R_I	UC_R
215368	TA_UC_R_I_ADL0044_R	ADL0044_R	TA	I	TA_UC_R_I	UC_R
1307932	TA_UC_R_I_ADL0054_R	ADL0054_R	TA	I	TA_UC_R_I	UC_R
207441	Cycling_TA_CD_R_NI_ADL0007_R	ADL0007_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
460826	Cycling_TA_CD_R_NI_BR639_R	BR639_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
3612289	Cycling_TA_CD_R_NI_ADL0014_R	ADL0014_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
153908	Cycling_TA_CD_R_NI_ADL0019_R	ADL0019_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
736284	Cycling_TA_CD_R_NI_ADL0026_R	ADL0026_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
259096	Cycling_TA_CD_R_NI_ADL0027_R	ADL0027_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
406732	Cycling_TA_CD_R_NI_ADL0036_R	ADL0036_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
634018	Cycling_TA_CD_R_NI_ADL0005_R	ADL0005_R	Cycling_TA	NI	Cycling_TA_CD_R_NI	CD_R
1747278	Cycling_TA_CD_R_I_ADL0016_R	ADL0016_R	Cycling_TA	I	Cycling_TA_CD_R_I	CD_R
189002	Cycling_TA_CD_R_I_ADL0003_R	ADL0003_R	Cycling_TA	I	Cycling_TA_CD_R_I	CD_R
580645	Cycling_TA_CD_R_I_ADL0008_R	ADL0008_R	Cycling_TA	I	Cycling_TA_CD_R_I	CD_R
547950	Cycling_TA_CD_R_I_ADL0038_R	ADL0038_R	Cycling_TA	I	Cycling_TA_CD_R_I	CD_R
567481	Cycling_TA_CD_R_I_ADL0048_R	ADL0048_R	Cycling_TA	I	Cycling_TA_CD_R_I	CD_R
186113	Cycling_TA_CD_R_I_ADL0050_R	ADL0050_R	Cycling_TA	I	Cycling_TA_CD_R_I	CD_R
69855	Cycling_TA_CD_R_I_ADL0051_R	ADL0051_R	Cycling_TA	I	Cycling_TA_CD_R_I	CD_R
291982	Cycling_TA_CD_TI_NI_ADL0001_TI	ADL0001_TI	Cycling_TA	NI	Cycling_TA_CD_TI_NI	CD_TI
106714	Cycling_TA_CD_TI_NI_ADL0005_TI	ADL0005_TI	Cycling_TA	NI	Cycling_TA_CD_TI_NI	CD_TI
108979	Cycling_TA_CD_TI_NI_ADL0006_TI	ADL0006_TI	Cycling_TA	NI	Cycling_TA_CD_TI_NI	CD_TI
249571	Cycling_TA_CD_TI_NI_ADL0019_TI	ADL0019_TI	Cycling_TA	NI	Cycling_TA_CD_TI_NI	CD_TI
64945	Cycling_TA_CD_TI_NI_ADL0014_TI	ADL0014_TI	Cycling_TA	NI	Cycling_TA_CD_TI_NI	CD_TI
50140	Cycling_TA_CD_TI_I_ADL0003_TI	ADL0003_TI	Cycling_TA	I	Cycling_TA_CD_TI_I	CD_TI
84728	Cycling_TA_CD_TI_I_BR639_TI	BR639_TI	Cycling_TA	I	Cycling_TA_CD_TI_I	CD_TI
162961	Cycling_TA_CD_TI_I_ADL0026_TI	ADL0026_TI	Cycling_TA	I	Cycling_TA_CD_TI_I	CD_TI
78123	Cycling_TA_CD_TI_I_ADL0060_TI	ADL0060_TI	Cycling_TA	I	Cycling_TA_CD_TI_I	CD_TI
62626	Cycling_TA_CD_TI_I_ADL0062_TI	ADL0062_TI	Cycling_TA	I	Cycling_TA_CD_TI_I	CD_TI
370037	Cycling_TA_UC_R_NI_ADL0002_R	ADL0002_R	Cycling_TA	NI	Cycling_TA_UC_R_NI	UC_R
358129	Cycling_TA_UC_R_NI_ADL0018_R	ADL0018_R	Cycling_TA	NI	Cycling_TA_UC_R_NI	UC_R
325231	Cycling_TA_UC_R_NI_ADL0009_R	ADL0009_R	Cycling_TA	NI	Cycling_TA_UC_R_NI	UC_R
249002	Cycling_TA_UC_R_NI_ADL0010_R	ADL0010_R	Cycling_TA	NI	Cycling_TA_UC_R_NI	UC_R
200786	Cycling_TA_UC_R_NI_ADL0012_R	ADL0012_R	Cycling_TA	NI	Cycling_TA_UC_R_NI	UC_R
480786	Cycling_TA_UC_R_NI_ADL0022_R	ADL0022_R	Cycling_TA	NI	Cycling_TA_UC_R_NI	UC_R
6304905	Cycling_TA_UC_R_I_ADL0004_R	ADL0004_R	Cycling_TA	I	Cycling_TA_UC_R_I	UC_R
195724	Cycling_TA_UC_R_I_ADL0041_R	ADL0041_R	Cycling_TA	I	Cycling_TA_UC_R_I	UC_R
173088	Cycling_TA_UC_R_I_ADL0053_R	ADL0053_R	Cycling_TA	I	Cycling_TA_UC_R_I	UC_R
924452	Cycling_TA_UC_R_I_ADL0044_R	ADL0044_R	Cycling_TA	I	Cycling_TA_UC_R_I	UC_R
125215	Cycling_TA_UC_R_I_ADL0052_R	ADL0052_R	Cycling_TA	I	Cycling_TA_UC_R_I	UC_R
1799053	Cycling_TA_UC_R_I_ADL0054_R	ADL0054_R	Cycling_TA	I	Cycling_TA_UC_R_I	UC_R
159548	Stem_CD_R_NI_BR639_R	BR639_R	Stem	NI	Stem_CD_R_NI	CD_R
1956347	Stem_CD_R_NI_ADL0014_R	ADL0014_R	Stem	NI	Stem_CD_R_NI	CD_R
68240	Stem_CD_R_NI_ADL0019_R	ADL0019_R	Stem	NI	Stem_CD_R_NI	CD_R
126260	Stem_CD_R_NI_ADL0026_R	ADL0026_R	Stem	NI	Stem_CD_R_NI	CD_R
52872	Stem_CD_R_NI_ADL0027_R	ADL0027_R	Stem	NI	Stem_CD_R_NI	CD_R
115632	Stem_CD_R_NI_ADL0036_R	ADL0036_R	Stem	NI	Stem_CD_R_NI	CD_R
504343	Stem_CD_R_NI_ADL0005_R	ADL0005_R	Stem	NI	Stem_CD_R_NI	CD_R
219004	Stem_CD_R_I_ADL0016_R	ADL0016_R	Stem	I	Stem_CD_R_I	CD_R
60098	Stem_CD_R_I_ADL0003_R	ADL0003_R	Stem	I	Stem_CD_R_I	CD_R
53910	Stem_CD_R_I_ADL0008_R	ADL0008_R	Stem	I	Stem_CD_R_I	CD_R
127281	Stem_CD_R_I_ADL0038_R	ADL0038_R	Stem	I	Stem_CD_R_I	CD_R
184082	Stem_CD_R_I_ADL0048_R	ADL0048_R	Stem	I	Stem_CD_R_I	CD_R
217190	Stem_CD_TI_NI_ADL0001_TI	ADL0001_TI	Stem	NI	Stem_CD_TI_NI	CD_TI
145467	Stem_CD_TI_NI_ADL0019_TI	ADL0019_TI	Stem	NI	Stem_CD_TI_NI	CD_TI
304966	Stem_CD_TI_NI_ADL0014_TI	ADL0014_TI	Stem	NI	Stem_CD_TI_NI	CD_TI
75568	Stem_CD_TI_NI_ADL0036_TI	ADL0036_TI	Stem	NI	Stem_CD_TI_NI	CD_TI
82060	Stem_CD_TI_I_ADL0003_TI	ADL0003_TI	Stem	I	Stem_CD_TI_I	CD_TI
59597	Stem_CD_TI_I_BR639_TI	BR639_TI	Stem	I	Stem_CD_TI_I	CD_TI
82405	Stem_CD_TI_I_ADL0026_TI	ADL0026_TI	Stem	I	Stem_CD_TI_I	CD_TI
184191	Stem_CD_TI_I_ADL0060_TI	ADL0060_TI	Stem	I	Stem_CD_TI_I	CD_TI
108313	Stem_UC_R_NI_ADL0002_R	ADL0002_R	Stem	NI	Stem_UC_R_NI	UC_R
200879	Stem_UC_R_NI_ADL0018_R	ADL0018_R	Stem	NI	Stem_UC_R_NI	UC_R
159538	Stem_UC_R_NI_ADL0009_R	ADL0009_R	Stem	NI	Stem_UC_R_NI	UC_R
103968	Stem_UC_R_NI_ADL0010_R	ADL0010_R	Stem	NI	Stem_UC_R_NI	UC_R
131991	Stem_UC_R_NI_ADL0022_R	ADL0022_R	Stem	NI	Stem_UC_R_NI	UC_R
2400143	Stem_UC_R_I_ADL0004_R	ADL0004_R	Stem	I	Stem_UC_R_I	UC_R
58328	Stem_UC_R_I_ADL0041_R	ADL0041_R	Stem	I	Stem_UC_R_I	UC_R
300291	Stem_UC_R_I_ADL0054_R	ADL0054_R	Stem	I	Stem_UC_R_I	UC_R
418284	Tuft_CD_R_NI_ADL0014_R	ADL0014_R	Tuft	NI	Tuft_CD_R_NI	CD_R
65719	Tuft_CD_R_NI_ADL0027_R	ADL0027_R	Tuft	NI	Tuft_CD_R_NI	CD_R
77652	Tuft_CD_R_I_ADL0016_R	ADL0016_R	Tuft	I	Tuft_CD_R_I	CD_R
88245	Tuft_CD_R_I_ADL0008_R	ADL0008_R	Tuft	I	Tuft_CD_R_I	CD_R
72039	Tuft_CD_R_I_ADL0048_R	ADL0048_R	Tuft	I	Tuft_CD_R_I	CD_R
217468	Tuft_CD_TI_NI_ADL0019_TI	ADL0019_TI	Tuft	NI	Tuft_CD_TI_NI	CD_TI
108805	Tuft_CD_TI_I_ADL0060_TI	ADL0060_TI	Tuft	I	Tuft_CD_TI_I	CD_TI
102391	Tuft_UC_R_NI_ADL0022_R	ADL0022_R	Tuft	NI	Tuft_UC_R_NI	UC_R
121387	Tuft_UC_R_I_ADL0004_R	ADL0004_R	Tuft	I	Tuft_UC_R_I	UC_R
100346	Tuft_UC_R_I_ADL0044_R	ADL0044_R	Tuft	I	Tuft_UC_R_I	UC_R
122618	Tuft_UC_R_I_ADL0054_R	ADL0054_R	Tuft	I	Tuft_UC_R_I	UC_R
60357	Paneth_CD_TI_NI_ADL0005_TI	ADL0005_TI	Paneth	NI	Paneth_CD_TI_NI	CD_TI
51267	Paneth_CD_TI_NI_ADL0036_TI	ADL0036_TI	Paneth	NI	Paneth_CD_TI_NI	CD_TI
65233	Paneth_CD_TI_I_ADL0026_TI	ADL0026_TI	Paneth	I	Paneth_CD_TI_I	CD_TI
774671	M_cell_CD_R_NI_ADL0014_R	ADL0014_R	M_cell	NI	M_cell_CD_R_NI	CD_R
545112	M_cell_CD_R_I_ADL0016_R	ADL0016_R	M_cell	I	M_cell_CD_R_I	CD_R
84065	M_cell_CD_R_I_ADL0008_R	ADL0008_R	M_cell	I	M_cell_CD_R_I	CD_R
178480	M_cell_CD_R_I_ADL0038_R	ADL0038_R	M_cell	I	M_cell_CD_R_I	CD_R
130404	M_cell_CD_R_I_ADL0048_R	ADL0048_R	M_cell	I	M_cell_CD_R_I	CD_R
132847	M_cell_UC_R_NI_ADL0018_R	ADL0018_R	M_cell	NI	M_cell_UC_R_NI	UC_R
206291	M_cell_UC_R_I_ADL0004_R	ADL0004_R	M_cell	I	M_cell_UC_R_I	UC_R
199883	M_cell_UC_R_I_ADL0054_R	ADL0054_R	M_cell	I	M_cell_UC_R_I	UC_R
