Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Igfbp4	2.427192975	2.16454E-71	0.749	0.308
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ly6a	1.866543924	3.88315E-51	0.547	0.098
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Socs3	1.762537341	7.15677E-72	0.642	0.067
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gadd45g	1.189157498	6.3465E-34	0.331	0.016
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ifngr1	1.133947384	1.30784E-29	0.656	0.339
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Apobec3	1.127524636	1.73387E-35	0.76	0.394
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Socs1	1.057329208	3.99682E-30	0.491	0.129
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Plac8	1.048509759	2.10407E-09	0.534	0.332
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Fam241a	0.97205771	1.67221E-24	0.517	0.225
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Arid5b	0.958809681	6.21845E-32	0.429	0.13
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Arid5a	0.927492536	1.05049E-20	0.508	0.183
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Bcl3	0.924459553	6.92839E-31	0.306	0.023
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gzmb	0.912027074	6.48981E-12	0.149	0.01
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ppa1	0.902674343	5.54052E-20	0.45	0.187
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Stat3	0.898053182	8.4063E-23	0.501	0.197
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Zbp1	0.885857999	1.26948E-17	0.423	0.148
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gpr18	0.865616714	4.0521E-22	0.499	0.203
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Sbno2	0.816678385	1.603E-26	0.364	0.1
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cdkn2d	0.801672325	2.30521E-18	0.531	0.262
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Satb1	0.78171064	1.64307E-22	0.847	0.7
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gbp2	0.775424609	6.40566E-15	0.352	0.131
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cytip	0.773319145	2.4975E-20	0.772	0.518
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Tcf7	0.766994399	1.603E-26	0.839	0.629
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ndrg3	0.758212586	3.50694E-12	0.339	0.128
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Rapgef6	0.74532996	7.71402E-21	0.837	0.658
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cd53	0.722500332	7.71402E-21	0.837	0.654
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Fam102a	0.718174829	1.39041E-16	0.436	0.204
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gzma	0.704449906	3.05441E-05	0.118	0.025
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ssh2	0.692066516	3.59491E-13	0.685	0.455
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Samhd1	0.666341849	3.91768E-13	0.605	0.417
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Myl12b	0.66018164	4.56595E-23	0.884	0.74
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ly6e	0.647652897	1.17705E-20	0.926	0.812
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Il21r	0.645266195	2.52424E-15	0.476	0.275
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Chmp4b	0.62757818	3.82395E-13	0.544	0.324
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Batf	0.623173999	2.32519E-11	0.28	0.106
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Serpinb1a	0.618545036	6.09529E-16	0.157	0.011
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ldha	0.61471832	4.03799E-12	0.749	0.587
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Vars	0.604301391	4.16478E-08	0.377	0.176
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Treml2	0.59564507	7.13248E-10	0.34	0.16
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Il6st	0.59305036	5.86692E-07	0.399	0.237
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Mxd1	0.588770763	6.98946E-12	0.222	0.053
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Zfp281	0.568270654	1.72914E-06	0.283	0.107
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Grk6	0.567755973	2.49246E-07	0.53	0.348
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Mthfd2	0.563464404	1.89101E-08	0.271	0.106
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ifi47	0.558062112	5.0028E-10	0.629	0.437
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ablim1	0.554243048	8.19354E-16	0.788	0.649
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Eif2s2	0.54454262	3.87407E-06	0.685	0.557
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gpr171	0.53384321	5.41825E-16	0.332	0.154
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Rnf213	0.532226457	9.61567E-10	0.33	0.181
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Isg15	0.531633734	8.77115E-13	0.243	0.092
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Trim30a	0.528877568	8.88005E-07	0.395	0.23
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Emb	0.525812249	9.43081E-15	0.8	0.634
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Eif5a	0.520347539	1.10874E-12	0.881	0.784
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ifi27l2a	0.501804329	4.57635E-07	0.625	0.488
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Elovl6	0.496836426	1.28511E-13	0.171	0.029
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Klhl6	0.48765577	0.001869382	0.394	0.272
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Igtp	0.464869224	0.022517227	0.331	0.188
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Eif1	0.462985125	2.07045E-21	0.984	0.97
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Flot1	0.462242148	5.69125E-07	0.23	0.083
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Nars	0.459739796	8.36672E-05	0.314	0.178
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Sema4d	0.453541397	6.94144E-05	0.338	0.193
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cyb5a	0.443632337	2.09946E-07	0.494	0.362
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ptpn1	0.442621662	0.000566375	0.459	0.324
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Nfkbia	0.441970614	0.007533751	0.423	0.288
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Rras2	0.437920587	6.19437E-05	0.313	0.163
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Jund	0.435529867	2.54537E-11	0.832	0.722
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Map3k8	0.431922379	5.68492E-07	0.174	0.042
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Tsc22d3	0.427448339	7.08983E-10	0.555	0.399
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Pgs1	0.425819811	5.68492E-07	0.302	0.162
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Psme2	0.424386268	3.64857E-06	0.773	0.651
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Sgk1	0.42188912	0.023748738	0.259	0.138
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Rab18	0.418660437	2.79753E-06	0.288	0.151
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Parp14	0.417047378	0.000269317	0.312	0.185
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Pja1	0.415703492	7.5972E-09	0.201	0.069
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Rtp4	0.415038159	3.06087E-06	0.255	0.124
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Bst2	0.41396031	1.17341E-05	0.502	0.354
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Pim1	0.411534028	0.00048028	0.231	0.099
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gramd3	0.41148338	0.00640133	0.445	0.312
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Runx3	0.410491965	1.02672E-05	0.606	0.467
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ppp1r16b	0.409512135	0.000835684	0.223	0.098
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Parp9	0.401501702	0.000148479	0.241	0.118
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Icam1	0.398102354	6.28764E-05	0.225	0.116
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Junb	0.395979254	3.28455E-13	0.707	0.454
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Smc1a	0.395500465	0.003148829	0.426	0.309
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Tapbp	0.394291766	5.63493E-05	0.555	0.43
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Zfp36l2	0.39283466	0.000575192	0.633	0.507
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Crlf2	0.390291767	0.006819607	0.296	0.167
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Nup210	0.389740202	0.000104734	0.413	0.287
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ppm1h	0.386947782	1.01592E-05	0.296	0.17
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Txnip	0.386563053	9.52725E-05	0.668	0.567
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Frmd4b	0.383541366	2.41152E-08	0.126	0.014
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gngt2	0.380448579	0.000266857	0.219	0.095
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gpr146	0.377031127	2.2036E-05	0.185	0.075
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Stat1	0.374513396	0.005645642	0.602	0.447
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cyfip2	0.372406248	0.002873514	0.346	0.219
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Kri1	0.370523442	0.000134446	0.225	0.119
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Etv6	0.37050732	2.78561E-09	0.134	0.025
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Isg20	0.36558003	0.000566375	0.139	0.048
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Vps37b	0.364384123	0.000595317	0.364	0.255
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gbp4	0.362032699	0.001112757	0.315	0.203
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ube2d3	0.361417804	3.90046E-05	0.85	0.747
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Xaf1	0.358745164	0.011232399	0.202	0.1
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Mrpl52	0.354786382	8.7691E-06	0.682	0.557
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Irf7	0.35354414	0.000658829	0.182	0.094
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Phgdh	0.353200414	0.014444787	0.348	0.266
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Lamp2	0.352705139	1.713E-05	0.159	0.065
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Rrp1b	0.35054111	3.36564E-06	0.189	0.09
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Mapkapk2	0.349341988	0.001015448	0.174	0.075
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Psmb10	0.347982628	0.000892476	0.621	0.504
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Lsm4	0.346167995	3.66474E-05	0.704	0.583
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Aars	0.34612944	1.96756E-05	0.139	0.043
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Il6ra	0.345776124	0.033328794	0.309	0.198
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cd82	0.344733225	0.005504828	0.373	0.258
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Sipa1l1	0.344015423	6.76151E-08	0.251	0.148
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Dtx3l	0.343572469	0.000341446	0.249	0.143
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Abi3	0.341699304	0.000112851	0.19	0.08
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Serpinb6b	0.340723893	6.3781E-08	0.181	0.091
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Clic4	0.337229366	0.007410015	0.133	0.047
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cebpb	0.33721622	0.000624052	0.189	0.088
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Samsn1	0.337140876	0.001232359	0.18	0.089
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Shmt2	0.335877991	0.003181956	0.21	0.106
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Camk2d	0.33431335	0.00873504	0.347	0.231
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Mcl1	0.331235509	0.000259328	0.606	0.479
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Zfp36	0.33029692	5.73446E-05	0.318	0.197
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ifi35	0.329539302	0.000135294	0.318	0.214
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Il4ra	0.327088709	0.001112296	0.299	0.196
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ssbp4	0.325870262	0.001957074	0.391	0.277
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Iars	0.323330494	0.014318521	0.173	0.073
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Akt2	0.318176266	3.47711E-08	0.195	0.093
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Dad1	0.318104261	3.13286E-06	0.78	0.704
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Iigp1	0.317544793	0.001795879	0.113	0.037
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Serinc3	0.316563262	0.000624052	0.329	0.233
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Klf13	0.316446707	1.6076E-06	0.573	0.462
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ankrd11	0.315771526	0.044632999	0.705	0.612
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Skap2	0.313253651	1.50653E-08	0.127	0.028
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Serpinb9	0.311400067	1.33501E-05	0.146	0.054
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Gpr65	0.309738019	0.000364706	0.238	0.145
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ddit3	0.307549859	0.005033571	0.19	0.105
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Sell	0.306809496	0.028045535	0.641	0.577
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Ptma	0.305538413	1.55931E-06	0.983	0.976
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Birc3	0.303705626	0.020495537	0.166	0.085
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Sdf4	0.300676637	0.035126632	0.514	0.414
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Rbm3	0.295442588	1.10605E-06	0.889	0.817
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Kif1b	0.294482908	0.000442126	0.22	0.127
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Zfp1	0.29398558	8.36672E-05	0.165	0.078
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cars	0.293979143	0.000700729	0.116	0.039
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Oas3	0.293418637	0.00017447	0.139	0.061
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Cltb	0.288067844	0.040301417	0.186	0.095
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Arl6ip5	0.286182623	0.011388316	0.472	0.381
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Plekho1	0.285692393	0.000120259	0.125	0.05
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Fkbp5	0.285570272	0.012002179	0.134	0.054
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Fas	0.284935602	0.010021382	0.144	0.07
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	D1Ertd622e	0.284339514	0.000315376	0.147	0.064
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Psme1	0.281602037	0.015757051	0.871	0.823
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Eif1a	0.27986543	0.002910058	0.219	0.13
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Dirc2	0.278541387	0.002503364	0.133	0.051
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Hivep2	0.278361142	0.015479359	0.2	0.112
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Tpm3	0.276998317	0.03552049	0.733	0.652
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Nfkbiz	0.275550618	0.025359542	0.164	0.094
CD8+ T cell	T_cell_CD8	IL-1α	IL1a	Trac	0.27408286	9.26591E-05	0.882	0.823
