Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
NK cell	NK_cell	IFN-β	IFNb	Myd88	0.461029057	0.00165114	0.202	0.072
NK cell	NK_cell	IFN-β	IFNb	Tmem33	0.46083218	1.70068E-05	0.271	0.093
NK cell	NK_cell	IFN-β	IFNb	Srsf6	0.46006378	0.001240021	0.442	0.241
NK cell	NK_cell	IFN-β	IFNb	Mrpl30	0.459428193	0.000845031	0.566	0.37
NK cell	NK_cell	IFN-β	IFNb	Hnrnpdl	0.459344116	4.50262E-05	0.488	0.247
NK cell	NK_cell	IFN-β	IFNb	Fnbp4	0.455433153	9.43379E-05	0.279	0.111
NK cell	NK_cell	IFN-β	IFNb	Phf6	0.455104771	0.000469927	0.202	0.077
NK cell	NK_cell	IFN-β	IFNb	Uchl3	0.453802413	0.024567006	0.287	0.15
NK cell	NK_cell	IFN-β	IFNb	Psma3	0.453442211	0.00339975	0.651	0.465
NK cell	NK_cell	IFN-β	IFNb	Coro2a	0.453203986	0.001930559	0.372	0.192
NK cell	NK_cell	IFN-β	IFNb	Tmem184b	0.451773383	4.60909E-08	0.178	0.032
NK cell	NK_cell	IFN-β	IFNb	Gmppb	0.450928243	7.67074E-07	0.233	0.069
NK cell	NK_cell	IFN-β	IFNb	Spcs2	0.446445448	0.000126344	0.698	0.481
NK cell	NK_cell	IFN-β	IFNb	Cish	0.445614339	2.44916E-05	0.163	0.037
NK cell	NK_cell	IFN-β	IFNb	Dda1	0.445564824	0.014828526	0.318	0.162
NK cell	NK_cell	IFN-β	IFNb	Ywhae	0.442671646	0.002988067	0.535	0.337
NK cell	NK_cell	IFN-β	IFNb	Abracl	0.442282123	8.76603E-05	0.791	0.571
NK cell	NK_cell	IFN-β	IFNb	Cd164	0.440691741	0.018399186	0.426	0.263
NK cell	NK_cell	IFN-β	IFNb	Etnk1	0.439158494	0.000426714	0.411	0.204
NK cell	NK_cell	IFN-β	IFNb	Klrk1	0.439047474	4.49237E-06	0.977	0.953
NK cell	NK_cell	IFN-β	IFNb	Emc7	0.436628401	0.001736839	0.419	0.231
NK cell	NK_cell	IFN-β	IFNb	Fasl	0.435906225	0.044837542	0.388	0.231
NK cell	NK_cell	IFN-β	IFNb	Prelid3b	0.435590023	9.06945E-05	0.279	0.113
NK cell	NK_cell	IFN-β	IFNb	Fhl2	0.435505847	0.002276139	0.178	0.072
NK cell	NK_cell	IFN-β	IFNb	Lilrb4a	0.434772028	6.67976E-08	0.14	0.015
NK cell	NK_cell	IFN-β	IFNb	Gng12	0.433640461	0.00036723	0.202	0.061
NK cell	NK_cell	IFN-β	IFNb	Tmem248	0.433471766	0.000728509	0.256	0.103
NK cell	NK_cell	IFN-β	IFNb	Napsa	0.433131066	0.001537556	0.333	0.168
NK cell	NK_cell	IFN-β	IFNb	Morc3	0.431033845	0.000931713	0.341	0.16
NK cell	NK_cell	IFN-β	IFNb	Atp6v1g1	0.42945602	0.008612361	0.543	0.357
NK cell	NK_cell	IFN-β	IFNb	Sumo1	0.425174916	0.00574733	0.698	0.495
NK cell	NK_cell	IFN-β	IFNb	Ostc	0.423820797	0.049662583	0.496	0.347
NK cell	NK_cell	IFN-β	IFNb	Mrpl52	0.418666017	0.003813837	0.62	0.443
NK cell	NK_cell	IFN-β	IFNb	Rab5c	0.416987492	0.003631996	0.442	0.268
NK cell	NK_cell	IFN-β	IFNb	Cct2	0.416376389	0.015819989	0.651	0.446
NK cell	NK_cell	IFN-β	IFNb	Papd7	0.416323041	1.84502E-07	0.147	0.024
NK cell	NK_cell	IFN-β	IFNb	Fam111a	0.415330342	0.012449748	0.264	0.126
NK cell	NK_cell	IFN-β	IFNb	Nedd9	0.414244957	0.029421786	0.271	0.148
NK cell	NK_cell	IFN-β	IFNb	Rabepk	0.413708284	0.000481212	0.178	0.054
