Celltype	Celltype_Str	Cytokine	Cytokine_Str	Gene	Avg_log2FC	FDR	Pct_Cytokine	Pct_PBS
B cell	B_cell	IL-1α	IL1a	Txndc5	-0.481196285	0.012425362	0.098	0.184
B cell	B_cell	IL-1α	IL1a	Rhob	-0.489157019	0.021261841	0.054	0.133
B cell	B_cell	IL-1α	IL1a	Hspa1b	-0.50202593	0.027348789	0.041	0.103
B cell	B_cell	IL-1α	IL1a	Ier5	-0.532517294	0.000294885	0.501	0.594
B cell	B_cell	IL-1α	IL1a	S100a10	-0.537254753	0.00214445	0.371	0.501
B cell	B_cell	IL-1α	IL1a	Vim	-0.560564011	0.005166925	0.195	0.312
B cell	B_cell	IL-1α	IL1a	Rasgrp2	-0.562200932	0.020974514	0.198	0.333
B cell	B_cell	IL-1α	IL1a	Swap70	-0.565208772	2.10029E-05	0.35	0.49
B cell	B_cell	IL-1α	IL1a	Iglc2	-0.56870768	5.32029E-10	0.778	0.902
B cell	B_cell	IL-1α	IL1a	Lsp1	-0.572380934	2.99445E-07	0.379	0.543
B cell	B_cell	IL-1α	IL1a	Ccr7	-0.596484671	0.005166925	0.217	0.309
B cell	B_cell	IL-1α	IL1a	Emp3	-0.685079973	9.34518E-07	0.255	0.419
B cell	B_cell	IL-1α	IL1a	Jun	-0.700396733	0.008649307	0.293	0.391
B cell	B_cell	IL-1α	IL1a	Iglc3	-0.716703579	3.74394E-15	0.637	0.823
B cell	B_cell	IL-1α	IL1a	Hist1h1c	-0.728870683	0.007422833	0.184	0.295
B cell	B_cell	IL-1α	IL1a	Fosb	-0.793441103	8.27711E-05	0.049	0.162
B cell	B_cell	IL-1α	IL1a	Fcer2a	-1.057616746	8.00795E-20	0.352	0.629
B cell	B_cell	IL-1α	IL1a	Cd55	-1.078239567	6.00951E-10	0.209	0.452
B cell	B_cell	IL-1α	IL1a	Klf2	-1.134997234	2.61013E-15	0.591	0.774
B cell	B_cell	IL-1β	IL1b	Zfp36l2	1.436181273	1.12472E-07	0.5	0.217
B cell	B_cell	IL-1β	IL1b	Ccnd3	1.219344937	1.52028E-06	0.415	0.147
B cell	B_cell	IL-1β	IL1b	Serinc3	0.737993938	0.018120527	0.72	0.554
B cell	B_cell	IL-1β	IL1b	Socs3	0.70457459	0.014569188	0.122	0.023
B cell	B_cell	IL-1β	IL1b	Bcl3	0.701719367	0.039480025	0.183	0.054
B cell	B_cell	IL-1β	IL1b	Fkbp5	0.445309148	0.045101065	0.11	0.026
B cell	B_cell	IL-1β	IL1b	Fth1	-0.332789413	0.045101065	0.939	0.979
B cell	B_cell	IL-1β	IL1b	Igkc	-0.501767686	0.008924742	0.963	0.967
B cell	B_cell	IL-1β	IL1b	Iglc2	-0.616483551	0.027050482	0.707	0.902
B cell	B_cell	IL-1β	IL1b	Cd79b	-0.627514662	0.001056295	0.829	0.959
B cell	B_cell	IL-1β	IL1b	Iglc3	-0.661387858	0.008924742	0.573	0.823
B cell	B_cell	IL-1β	IL1b	Ltb	-0.679305129	0.003990303	0.646	0.847
B cell	B_cell	IL-1β	IL1b	Klf2	-0.795363948	0.04666772	0.524	0.774
B cell	B_cell	IL-1β	IL1b	Ier5	-0.80152328	0.029103457	0.341	0.594
B cell	B_cell	IL-1β	IL1b	Fcer2a	-1.024408801	0.000106135	0.28	0.629
B cell	B_cell	IL-18	IL18	Serpina3g	2.448263844	4.16107E-63	0.645	0.048
B cell	B_cell	IL-18	IL18	Ifi47	1.878377495	7.18083E-53	0.657	0.1
B cell	B_cell	IL-18	IL18	Stat1	1.856754928	7.18083E-53	0.81	0.215
B cell	B_cell	IL-18	IL18	Ly6a	1.706126902	1.28484E-45	0.901	0.359
B cell	B_cell	IL-18	IL18	Gbp7	1.51048023	1.51825E-33	0.413	0.033
B cell	B_cell	IL-18	IL18	Socs1	1.510088347	2.22337E-38	0.384	0.026
B cell	B_cell	IL-18	IL18	Iigp1	1.49494997	9.35607E-23	0.248	0.011
B cell	B_cell	IL-18	IL18	Irf1	1.448627255	9.3969E-31	0.512	0.105
B cell	B_cell	IL-18	IL18	Irgm1	1.407780728	1.70842E-41	0.517	0.072
B cell	B_cell	IL-18	IL18	Igtp	1.360136306	1.8523E-31	0.426	0.055
B cell	B_cell	IL-18	IL18	Samhd1	1.309354469	2.92889E-34	0.872	0.457
B cell	B_cell	IL-18	IL18	Gbp4	1.30855345	4.98983E-24	0.413	0.074
B cell	B_cell	IL-18	IL18	Pkib	1.27393634	3.05733E-26	0.545	0.131
B cell	B_cell	IL-18	IL18	Zbp1	1.217711094	1.44144E-25	0.388	0.063
B cell	B_cell	IL-18	IL18	Psmb9	1.194693315	1.85586E-27	0.756	0.309
B cell	B_cell	IL-18	IL18	Gbp2	1.121376727	6.23195E-17	0.248	0.03
B cell	B_cell	IL-18	IL18	Tap1	1.099339536	2.18019E-22	0.649	0.217
B cell	B_cell	IL-18	IL18	Serpina3f	0.945244097	3.31997E-21	0.211	0.005
B cell	B_cell	IL-18	IL18	Parp14	0.942449433	3.67597E-11	0.405	0.125
B cell	B_cell	IL-18	IL18	Serpinb1a	0.883254357	3.33582E-07	0.674	0.445
B cell	B_cell	IL-18	IL18	Gimap4	0.883070437	2.11453E-13	0.669	0.31
B cell	B_cell	IL-18	IL18	Gbp3	0.804143555	2.12946E-18	0.236	0.026
B cell	B_cell	IL-18	IL18	Ifi203	0.766200907	3.63964E-12	0.798	0.488
B cell	B_cell	IL-18	IL18	Wars	0.76391275	1.21161E-10	0.19	0.037
B cell	B_cell	IL-18	IL18	Irf8	0.741833319	6.27981E-09	0.789	0.512
B cell	B_cell	IL-18	IL18	Gbp5	0.722841362	1.98585E-14	0.219	0.029
B cell	B_cell	IL-18	IL18	Sertad2	0.700605755	5.63338E-11	0.244	0.055
B cell	B_cell	IL-18	IL18	Pml	0.697407804	5.24985E-12	0.43	0.156
B cell	B_cell	IL-18	IL18	Psmb10	0.675797666	1.86553E-08	0.541	0.265
B cell	B_cell	IL-18	IL18	H2-K1	0.647388798	3.87906E-17	1	0.938
B cell	B_cell	IL-18	IL18	Ms4a4c	0.636240555	3.92705E-09	0.694	0.405
B cell	B_cell	IL-18	IL18	H2-T23	0.62657615	1.78043E-09	0.789	0.47
B cell	B_cell	IL-18	IL18	Psme2	0.619327021	3.33582E-07	0.554	0.274
B cell	B_cell	IL-18	IL18	Psmb8	0.59575717	1.66147E-09	0.864	0.681
B cell	B_cell	IL-18	IL18	Psme1	0.592922335	1.79273E-07	0.781	0.506
B cell	B_cell	IL-18	IL18	Psma7	0.564941266	2.2105E-07	0.612	0.336
B cell	B_cell	IL-18	IL18	Parp9	0.563787069	5.11933E-09	0.236	0.058
B cell	B_cell	IL-18	IL18	Fam26f	0.558689692	9.82666E-06	0.165	0.035
B cell	B_cell	IL-18	IL18	H2-T22	0.553667559	4.80924E-07	0.364	0.166
B cell	B_cell	IL-18	IL18	Plac8	0.549436082	1.78981E-09	0.645	0.335
B cell	B_cell	IL-18	IL18	Icam1	0.5454897	1.66315E-05	0.186	0.058
B cell	B_cell	IL-18	IL18	Jun	0.544989027	0.000149032	0.628	0.391
B cell	B_cell	IL-18	IL18	Mndal	0.541711344	4.4224E-05	0.736	0.48
B cell	B_cell	IL-18	IL18	Gbp9	0.53025818	2.07541E-05	0.223	0.07
